Study,Location,Spp,FG,d13C,d15N,NS
MEL,MEJ,Tegula,Benthic_BL,-13.2,17.8,9
MEL,MEJ,Tegula,Benthic_BL,-13.8,18.6,9
MEL,MEJ,Tegula,Benthic_BL,-13.6,18.7,9
MEL,MEJ,Tegula,Benthic_BL,-13.7,18.7,9
MEL,MEJ,Tegula,Benthic_BL,-13.5,18.8,9
MEL,MEJ,Tegula,Benthic_BL,-12.2,18.5,9
MEL,MEJ,Tegula,Benthic_BL,-11.6,18.0,9
MEL,MEJ,Tegula,Benthic_BL,-11.9,18.1,9
MEL,MEJ,Tegula,Benthic_BL,-11.1,18.3,9
MEL,MEJ,Tegula,Benthic_BL,-12.3,18.4,9
MEL,MEJ,Tegula,Benthic_BL,-13.0,18.0,9
MEL,MEJ,Tegula,Benthic_BL,-13.2,18.3,9
MEL,MEJ,Tegula,Benthic_BL,-13.3,17.9,9
MEL,MEJ,Tegula,Benthic_BL,-13.2,18.4,9
MEL,MEJ,Tegula,Benthic_BL,-13.2,18.0,9
MEL,MEJ,Tegula,Benthic_BL,-15.6,17.4,9
MEL,MEJ,Tegula,Benthic_BL,-13.4,18.5,9
MEL,MEJ,Tegula,Benthic_BL,-13.7,18.7,9
MEL,MEJ,Tegula,Benthic_BL,-14.1,18.8,9
MEL,MEJ,Tegula,Benthic_BL,-13.3,18.8,9
MEL,MEJ,Bilagay,Bilagay,-14.3,22.4,9
MEL,MEJ,Bilagay,Bilagay,-14.6,22.3,9
MEL,MEJ,Bilagay,Bilagay,-14.8,21.9,9
MEL,MEJ,Bilagay,Bilagay,-14.6,21.7,9
MEL,MEJ,Bilagay,Bilagay,-14.9,22.1,9
MEL,MEJ,Bilagay,Bilagay,-14.5,22.4,9
MEL,MEJ,Bilagay,Bilagay,-14.7,21.9,9
MEL,MEJ,Bilagay,Bilagay,-14.7,22.7,9
MEL,MEJ,Bilagay,Bilagay,-14.7,22.3,9
MEL,MEJ,Bilagay,Bilagay,-14.6,22.2,9
MEL,MEJ,Bilagay,Bilagay,-14.7,22.3,9
MEL,MEJ,Bilagay,Bilagay,-14.5,22.5,9
MEL,MEJ,Bilagay,Bilagay,-14.5,22.0,9
MEL,MEJ,Bilagay,Bilagay,-14.8,23.3,9
MEL,MEJ,Bilagay,Bilagay,-14.6,22.6,9
MEL,MEJ,Bilagay,Bilagay,-15.0,22.7,9
MEL,MEJ,Bilagay,Bilagay,-15.4,22.2,9
MEL,MEJ,Bilagay,Bilagay,-14.8,22.0,9
MEL,MEJ,Bilagay,Bilagay,-15.5,22.5,9
MEL,MEJ,Bilagay,Bilagay,-14.9,21.8,9
MEL,MEJ,Bilagay,Bilagay,-14.6,22.4,9
MEL,MEJ,Bilagay,Bilagay,-14.7,22.5,9
MEL,MEJ,Bilagay,Bilagay,-14.9,22.4,9
MEL,MEJ,Bilagay,Bilagay,-15.0,22.4,9
MEL,MEJ,Bilagay,Bilagay,-15.1,22.8,9
MEL,MEJ,Bilagay,Bilagay,-15.6,22.5,9
MEL,MEJ,Bilagay,Bilagay,-14.9,22.8,9
MEL,MEJ,Bilagay,Bilagay,-14.9,21.6,9
MEL,MEJ,Bilagay,Bilagay,-15.2,22.4,9
MEL,MEJ,Bilagay,Bilagay,-14.4,22.7,9
MEL,MEJ,Bilagay,Bilagay,-14.4,22.3,9
MEL,MEJ,Bilagay,Bilagay,-14.5,22.1,9
MEL,MEJ,Bilagay,Bilagay,-14.4,21.9,9
MEL,MEJ,Bilagay,Bilagay,-15.0,22.2,9
MEL,MEJ,Bilagay,Bilagay,-14.0,22.0,9
MEL,MEJ,Bilagay,Bilagay,-14.6,22.4,9
MEL,MEJ,Bilagay,Bilagay,-14.4,22.3,9
MEL,MEJ,Bilagay,Bilagay,-14.6,22.0,9
MEL,MEJ,Bilagay,Bilagay,-14.6,22.1,9
MEL,MEJ,Bilagay,Bilagay,-15.3,21.8,9
MEL,MEJ,Bilagay,Bilagay,-15.1,22.3,9
MEL,MEJ,Bilagay,Bilagay,-14.8,21.3,9
MEL,MEJ,Bilagay,Bilagay,-14.9,21.0,9
MEL,MEJ,Bilagay,Bilagay,-14.7,21.7,9
MEL,MEJ,Bilagay,Bilagay,-14.4,21.8,9
MEL,MEJ,Bilagay,Bilagay,-14.8,21.7,9
MEL,MEJ,Bilagay,Bilagay,-14.6,21.8,9
MEL,MEJ,Bilagay,Bilagay,-14.6,21.7,9
MEL,MEJ,Bilagay,Bilagay,-14.8,21.3,9
MEL,MEJ,Bilagay,Bilagay,-14.9,21.5,9
MEL,MEJ,Bilagay,Bilagay,-14.6,21.8,9
MEL,MEJ,Bilagay,Bilagay,-15.2,21.6,9
MEL,MEJ,Bilagay,Bilagay,-14.8,21.3,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-14.9,16.7,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-14.6,17.0,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.0,17.3,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-14.9,17.6,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.9,16.8,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.7,17.2,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-16.0,17.4,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.7,17.8,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-16.3,17.1,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.8,17.1,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.5,17.9,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-16.0,18.1,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.4,16.7,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.9,18.0,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.9,18.2,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.8,16.7,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.4,16.9,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.8,17.1,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.3,17.4,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.3,17.7,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.7,18.1,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.3,17.6,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.6,18.1,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.6,17.1,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.9,18.1,9
MEL,MEJ,Perumytilus purpuratus,Pelagic_BL,-15.6,17.4,9
MEL,RIN,Scurria viridula,Benthic_BL,-12.6,16.3,5
MEL,RIN,Scurria viridula,Benthic_BL,-9.4,15.1,5
MEL,RIN,Scurria viridula,Benthic_BL,-11.2,15.7,5
MEL,RIN,Scurria viridula,Benthic_BL,-10.5,15.7,5
MEL,RIN,Scurria viridula,Benthic_BL,-10.6,15.8,5
MEL,RIN,Scurria viridula,Benthic_BL,-9.8,15.8,5
MEL,RIN,Scurria viridula,Benthic_BL,-10.8,16.0,5
MEL,RIN,Scurria viridula,Benthic_BL,-9.0,16.0,5
MEL,RIN,Tegula,Benthic_BL,-12.7,16.9,5
MEL,RIN,Tegula,Benthic_BL,-12.5,16.9,5
MEL,RIN,Tegula,Benthic_BL,-12.6,17.0,5
MEL,RIN,Tegula,Benthic_BL,-12.9,17.2,5
MEL,RIN,Tegula,Benthic_BL,-12.5,17.1,5
MEL,RIN,Tegula,Benthic_BL,-12.7,17.2,5
MEL,RIN,Tegula,Benthic_BL,-11.8,17.3,5
MEL,RIN,Tegula,Benthic_BL,-11.6,17.3,5
MEL,RIN,Tegula,Benthic_BL,-12.7,16.3,5
MEL,RIN,Tegula,Benthic_BL,-11.8,16.6,5
MEL,RIN,Tegula,Benthic_BL,-12.1,16.6,5
MEL,RIN,Tegula,Benthic_BL,-12.4,17.6,5
MEL,RIN,Tegula,Benthic_BL,-12.5,16.8,5
MEL,RIN,Tegula,Benthic_BL,-11.2,17.2,5
MEL,RIN,Tegula,Benthic_BL,-13.0,16.8,5
MEL,RIN,Tegula,Benthic_BL,-12.1,16.8,5
MEL,RIN,Tegula,Benthic_BL,-11.2,17.0,5
MEL,RIN,Tegula,Benthic_BL,-13.7,16.9,5
MEL,RIN,Tegula,Benthic_BL,-10.9,17.2,5
MEL,RIN,Tegula,Benthic_BL,-13.4,16.7,5
MEL,RIN,Tegula,Benthic_BL,-11.1,17.0,5
MEL,RIN,Tegula,Benthic_BL,-14.1,16.8,5
MEL,RIN,Tegula,Benthic_BL,-13.0,16.3,5
MEL,RIN,Tegula,Benthic_BL,-14.1,16.2,5
MEL,RIN,Tegula,Benthic_BL,-13.3,16.2,5
MEL,RIN,Tegula,Benthic_BL,-13.1,16.6,5
MEL,RIN,Tegula,Benthic_BL,-13.8,16.7,5
MEL,RIN,Bilagay,Bilagay,-16.1,22.2,5
MEL,RIN,Bilagay,Bilagay,-15.6,21.9,5
MEL,RIN,Bilagay,Bilagay,-15.1,23.4,5
MEL,RIN,Bilagay,Bilagay,-16.1,21.6,5
MEL,RIN,Bilagay,Bilagay,-15.2,22.7,5
MEL,RIN,Bilagay,Bilagay,-14.5,22.5,5
MEL,RIN,Bilagay,Bilagay,-15.8,22.3,5
MEL,RIN,Bilagay,Bilagay,-14.7,22.5,5
MEL,RIN,Bilagay,Bilagay,-14.5,22.0,5
MEL,RIN,Bilagay,Bilagay,-15.6,22.4,5
MEL,RIN,Bilagay,Bilagay,-16.0,22.9,5
MEL,RIN,Bilagay,Bilagay,-15.8,21.8,5
MEL,RIN,Bilagay,Bilagay,-15.8,22.0,5
MEL,RIN,Bilagay,Bilagay,-16.2,21.8,5
MEL,RIN,Bilagay,Bilagay,-16.0,22.2,5
MEL,RIN,Bilagay,Bilagay,-15.5,21.5,5
MEL,RIN,Bilagay,Bilagay,-15.2,21.3,5
MEL,RIN,Bilagay,Bilagay,-15.1,21.1,5
MEL,RIN,Bilagay,Bilagay,-15.1,21.1,5
MEL,RIN,Bilagay,Bilagay,-15.5,21.0,5
MEL,RIN,Bilagay,Bilagay,-15.8,21.3,5
MEL,RIN,Bilagay,Bilagay,-15.7,20.9,5
MEL,RIN,Bilagay,Bilagay,-14.9,21.2,5
MEL,RIN,Bilagay,Bilagay,-15.3,21.3,5
MEL,RIN,Bilagay,Bilagay,-15.2,21.5,5
MEL,RIN,Bilagay,Bilagay,-14.8,21.5,5
MEL,RIN,Bilagay,Bilagay,-15.6,20.8,5
MEL,RIN,Bilagay,Bilagay,-15.5,21.1,5
MEL,RIN,Bilagay,Bilagay,-15.4,20.8,5
MEL,RIN,Bilagay,Bilagay,-15.0,20.1,5
MEL,RIN,Bilagay,Bilagay,-13.7,20.5,5
MEL,RIN,Bilagay,Bilagay,-14.9,20.8,5
MEL,RIN,Bilagay,Bilagay,-15.6,20.7,5
MEL,RIN,Bilagay,Bilagay,-15.1,21.0,5
MEL,RIN,Bilagay,Bilagay,-15.3,20.8,5
MEL,RIN,Bilagay,Bilagay,-15.6,20.6,5
MEL,RIN,Bilagay,Bilagay,-14.4,21.0,5
MEL,RIN,Bilagay,Bilagay,-15.4,21.0,5
MEL,RIN,Bilagay,Bilagay,-14.8,20.3,5
MEL,RIN,Bilagay,Bilagay,-14.9,20.7,5
MEL,RIN,Bilagay,Bilagay,-16.0,21.3,5
MEL,RIN,Bilagay,Bilagay,-15.4,21.5,5
MEL,RIN,Bilagay,Bilagay,-15.4,20.7,5
MEL,RIN,Bilagay,Bilagay,-15.0,21.7,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-14.8,16.7,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-14.6,16.8,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-13.1,17.0,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-14.5,17.9,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-16.1,15.6,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-16.0,16.0,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.2,16.0,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.3,17.3,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.5,15.4,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.0,15.6,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.9,15.7,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.2,16.0,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.5,16.2,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.5,15.9,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-14.8,16.4,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.7,17.2,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-14.5,16.5,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-17.1,15.7,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-17.1,15.2,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-16.6,15.2,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-16.0,15.8,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-16.3,15.5,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-16.2,16.0,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.7,16.3,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.2,16.3,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.3,16.0,5
MEL,RIN,Perumytilus purpuratus,Pelagic_BL,-15.2,15.6,5
MEC,Taltal,Tegula atra,Benthic_BL,-13.3,16.2,2
MEC,Taltal,Tegula atra,Benthic_BL,-12.7,17.0,2
MEC,Taltal,Echinolittorina peruviana,Benthic_BL,-11.9,15.0,2
MEC,Taltal,Echinolittorina peruviana,Benthic_BL,-11.5,17.2,2
MEC,Taltal,Echinolittorina peruviana,Benthic_BL,-13.0,17.9,2
MEC,Taltal,Echinolittorina peruviana,Benthic_BL,-13.3,17.5,2
MEC,Taltal,Echinolittorina peruviana,Benthic_BL,-11.2,15.6,2
MEC,Taltal,Tegula atra,Benthic_BL,-12.6,17.1,2
MEC,Taltal,Tegula atra,Benthic_BL,-12.2,17.0,2
MEC,Taltal,Tegula atra,Benthic_BL,-13.3,17.4,2
MEC,Taltal,Echinolittorina peruviana,Benthic_BL,-12.4,14.6,2
MEC,Taltal,Echinolittorina peruviana,Benthic_BL,-12.5,15.4,2
MEC,Taltal,Echinolittorina peruviana,Benthic_BL,-12.6,16.0,2
MEC,Taltal,Echinolittorina peruviana,Benthic_BL,-12.3,15.7,2
MEC,Taltal,Echinolittorina peruviana,Benthic_BL,-12.9,16.0,2
MEC,Taltal,Bilagay,Bilagay,-15.7,20.7,2
MEC,Taltal,Bilagay,Bilagay,-16.1,20.0,2
MEC,Taltal,Bilagay,Bilagay,-15.7,20.5,2
MEC,Taltal,Bilagay,Bilagay,-16.0,20.8,2
MEC,Taltal,Bilagay,Bilagay,-15.2,21.3,2
MEC,Taltal,Bilagay,Bilagay,-15.6,20.2,2
MEC,Taltal,Bilagay,Bilagay,-15.5,20.5,2
MEC,Taltal,Bilagay,Bilagay,-14.9,19.1,2
MEC,Taltal,Bilagay,Bilagay,-16.0,20.2,2
MEC,Taltal,Bilagay,Bilagay,-15.6,20.3,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-17.3,18.0,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-16.0,15.2,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-17.3,18.5,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-17.6,18.3,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-16.5,14.3,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-15.8,15.6,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-15.6,15.5,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-17.0,18.4,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-17.3,18.2,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-15.2,16.3,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-17.0,15.3,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-15.4,15.2,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-15.1,15.2,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-16.4,15.2,2
MEC,Taltal,Perumytilus purpuratus,Pelagic_BL,-16.1,15.0,2
MEC,Tocopilla,Echinolittorina peruviana,Benthic_BL,-12.2,18.0,10
MEC,Tocopilla,Echinolittorina peruviana,Benthic_BL,-14.5,17.8,10
MEC,Tocopilla,Echinolittorina peruviana,Benthic_BL,-10.3,18.1,10
MEC,Tocopilla,Echinolittorina peruviana,Benthic_BL,-11.5,17.3,10
MEC,Tocopilla,Prisogaster niger,Benthic_BL,-13.1,18.6,10
MEC,Tocopilla,Prisogaster niger,Benthic_BL,-13.6,18.9,10
MEC,Tocopilla,Prisogaster niger,Benthic_BL,-13.3,18.5,10
MEC,Tocopilla,Prisogaster niger,Benthic_BL,-13.8,18.3,10
MEC,Tocopilla,Prisogaster niger,Benthic_BL,-12.6,18.7,10
MEC,Tocopilla,Echinolittorina peruviana,Benthic_BL,-12.2,16.6,10
MEC,Tocopilla,Echinolittorina peruviana,Benthic_BL,-12.6,17.0,10
MEC,Tocopilla,Echinolittorina peruviana,Benthic_BL,-13.3,15.7,10
MEC,Tocopilla,Echinolittorina peruviana,Benthic_BL,-11.6,17.0,10
MEC,Tocopilla,Echinolittorina peruviana,Benthic_BL,-11.9,16.6,10
MEC,Tocopilla,Bilagay,Bilagay,-15.7,22.7,10
MEC,Tocopilla,Bilagay,Bilagay,-15.5,23.4,10
MEC,Tocopilla,Bilagay,Bilagay,-15.8,23.0,10
MEC,Tocopilla,Bilagay,Bilagay,-15.5,23.6,10
MEC,Tocopilla,Bilagay,Bilagay,-15.4,23.5,10
MEC,Tocopilla,Bilagay,Bilagay,-15.3,22.5,10
MEC,Tocopilla,Bilagay,Bilagay,-15.6,22.2,10
MEC,Tocopilla,Bilagay,Bilagay,-15.3,21.7,10
MEC,Tocopilla,Bilagay,Bilagay,-15.7,22.3,10
MEC,Tocopilla,Bilagay,Bilagay,-15.3,22.4,10
MEC,Tocopilla,Perumytilus purpuratus,Pelagic_BL,-17.0,16.7,10
MEC,Tocopilla,Perumytilus purpuratus,Pelagic_BL,-17.5,15.9,10
MEC,Tocopilla,Perumytilus purpuratus,Pelagic_BL,-16.5,16.7,10
MEC,Tocopilla,Perumytilus purpuratus,Pelagic_BL,-15.8,16.5,10
MEC,Tocopilla,Perumytilus purpuratus,Pelagic_BL,-16.7,17.6,10
MEC,Tocopilla,Perumytilus purpuratus,Pelagic_BL,-17.2,16.6,10
MEC,Tocopilla,Perumytilus purpuratus,Pelagic_BL,-17.0,16.7,10
MEC,Tocopilla,Perumytilus purpuratus,Pelagic_BL,-16.8,16.2,10
MEC,Tocopilla,Perumytilus purpuratus,Pelagic_BL,-17.3,15.9,10
MEC,Tocopilla,Perumytilus purpuratus,Pelagic_BL,-17.5,16.8,10